Bank Name,city,stalp,zip,RepDte,Reporting Year,Employees,Total Assets(000),CashBalance(000),Total Liabilities/Capital (000),Liabilities(000),Deposits
ROYAL SAVINGS BANK,Chicago,IL,60617,9/30/2021,2021,56,554859,29847,554859,499984,493616
RUSHVILLE STATE BANK,Rushville,IL,62681,9/30/2019,2019,16,105233,8236,105233,89865,88229
RUSHVILLE STATE BANK,Rushville,IL,62681,9/30/2020,2020,14,116387,9186,116387,99587,93933
RUSHVILLE STATE BANK,Rushville,IL,62681,9/30/2021,2021,13,123496,15265,123496,106839,105184
SAFRA NATIONAL BANK OF NEW YORK,New York,NY,10036,9/30/2019,2019,256,7706952,960274,7706952,6780129,6449408
SAFRA NATIONAL BANK OF NEW YORK,New York,NY,10036,9/30/2020,2020,253,9512486,1300821,9512486,8476442,7682440
SAFRA NATIONAL BANK OF NEW YORK,New York,NY,10036,9/30/2021,2021,256,9504524,1885196,9504524,8397248,7820363
SAINTE MARIE STATE BANK,Sainte Marie,IL,62459,9/30/2019,2019,4,17123,950,17123,13145,13111
SAINTE MARIE STATE BANK,Sainte Marie,IL,62459,9/30/2020,2020,4,16422,1937,16422,12656,12622
SAINTE MARIE STATE BANK,Sainte Marie,IL,62459,9/30/2021,2021,4,16170,4219,16170,12956,12888
SALEM FIVE CENTS SAVINGS BANK,Salem,MA,1970,9/30/2019,2019,581,5242974,55358,5242974,4689430,4004438
SALEM FIVE CENTS SAVINGS BANK,Salem,MA,1970,9/30/2020,2020,607,5524552,177673,5524552,4924883,4027211
SALEM FIVE CENTS SAVINGS BANK,Salem,MA,1970,9/30/2021,2021,612,5807733,251418,5807733,5129729,4394101
SANTA CRUZ COUNTY BANK,Santa Cruz,CA,95060,9/30/2019,2019,87,722872,120476,722872,645064,631411
SANTA CRUZ COUNTY BANK,Santa Cruz,CA,95060,9/30/2020,2020,134,1448697,85852,1448697,1283750,1179709
SANTA CRUZ COUNTY BANK,Santa Cruz,CA,95060,9/30/2021,2021,149,1699550,193525,1699550,1516505,1498744
SARATOGA NATIONAL BANK AND TRUST,Saratoga Springs,NY,12866,9/30/2019,2019,55,603505,18380,603505,544118,512565
SARATOGA NATIONAL BANK AND TRUST,Saratoga Springs,NY,12866,9/30/2020,2020,56,799359,65434,799359,730143,699114
SARATOGA NATIONAL BANK AND TRUST,Saratoga Springs,NY,12866,9/30/2021,2021,55,847957,55191,847957,767014,740672
SAUK VALLEY BANK & TRUST COMPANY,Sterling,IL,61081,9/30/2019,2019,105,450181,22314,450181,406936,392926
SAUK VALLEY BANK & TRUST COMPANY,Sterling,IL,61081,9/30/2020,2020,105,569635,34799,569635,521114,467455
SAUK VALLEY BANK & TRUST COMPANY,Sterling,IL,61081,9/30/2021,2021,110,602485,23638,602485,550522,524796
SAVANNAH BANK NATIONAL ASSOCIATION,Savannah,NY,13146,9/30/2019,2019,40,146391,17475,146391,133320,131613
SAVANNAH BANK NATIONAL ASSOCIATION,Savannah,NY,13146,9/30/2020,2020,38,156987,18599,156987,143055,140952
SAVANNAH BANK NATIONAL ASSOCIATION,Savannah,NY,13146,9/30/2021,2021,37,166143,24634,166143,152619,150050
SAVANNA-THOMSON STATE BANK,Thomson,IL,61285,9/30/2019,2019,21,93929,8020,93929,80066,79900
SAVANNA-THOMSON STATE BANK,Thomson,IL,61285,9/30/2020,2020,21,105004,14071,105004,90663,86549
SAVANNA-THOMSON STATE BANK,Thomson,IL,61285,9/30/2021,2021,20,122602,12006,122602,108510,103365
SAVERS CO-OPERATIVE BANK,Southbridge,MA,1550,9/30/2019,2019,93,581369,30880,581369,517261,422091
SAVERS CO-OPERATIVE BANK,Southbridge,MA,1550,9/30/2020,2020,86,653390,68299,653390,584585,500238
SAVERS CO-OPERATIVE BANK,Southbridge,MA,1550,9/30/2021,2021,89,673307,113534,673307,601218,525171
SAVINGS BANK OF MENDOCINO COUNTY,Ukiah,CA,95482,9/30/2019,2019,196,1109400,26791,1109400,922562,917453
SAVINGS BANK OF MENDOCINO COUNTY,Ukiah,CA,95482,9/30/2020,2020,182,1286022,125232,1286022,1084096,1080076
SAVINGS BANK OF MENDOCINO COUNTY,Ukiah,CA,95482,9/30/2021,2021,184,1430740,80385,1430740,1224445,1219955
SAVOY BANK,New York,NY,10020,9/30/2019,2019,40,381689,48899,381689,342389,324333
SAVOY BANK,New York,NY,10020,9/30/2020,2020,45,587889,36676,587889,544135,333853
SAWYER SAVINGS BANK,Saugerties,NY,12477,9/30/2019,2019,43,251030,5548,251030,224533,201929
SAWYER SAVINGS BANK,Saugerties,NY,12477,9/30/2020,2020,44,255983,8450,255983,228643,204683
SAWYER SAVINGS BANK,Saugerties,NY,12477,9/30/2021,2021,44,273166,12727,273166,244614,227746
"SCHAUMBURG BANK & TRUST COMPANY, NATIONAL ASSOCIATION",Schaumburg,IL,60173,9/30/2019,2019,67,1219958,54471,1219958,1086492,1040637
"SCHAUMBURG BANK & TRUST COMPANY, NATIONAL ASSOCIATION",Schaumburg,IL,60173,9/30/2020,2020,66,1430023,221864,1430023,1303121,1245313
"SCHAUMBURG BANK & TRUST COMPANY, NATIONAL ASSOCIATION",Schaumburg,IL,60173,9/30/2021,2021,60,1559896,125528,1559896,1407714,1355657
SCOTT STATE BANK,Bethany,IL,61914,9/30/2019,2019,48,162935,20177,162935,137954,137598
SCOTT STATE BANK,Bethany,IL,61914,9/30/2020,2020,46,182005,26928,182005,154964,151464
SCOTT STATE BANK,Bethany,IL,61914,9/30/2021,2021,43,197631,23443,197631,170911,170565
SEACOAST COMMERCE BANK,San Diego,CA,92128,9/30/2019,2019,154,1082517,35894,1082517,953118,852331
SEACOAST COMMERCE BANK,San Diego,CA,92128,9/30/2020,2020,152,1327398,67311,1327398,1187778,1005544
SEAMEN'S BANK,Provincetown,MA,2657,9/30/2019,2019,68,401673,41084,401673,358500,355170
SEAMEN'S BANK,Provincetown,MA,2657,9/30/2020,2020,71,472022,110995,472022,426518,423178
SEAMEN'S BANK,Provincetown,MA,2657,9/30/2021,2021,71,568051,226247,568051,521838,521456
"SECURITY BANK, S.B.",Springfield,IL,62701,9/30/2019,2019,37,196347,18779,196347,180211,179832
"SECURITY BANK, S.B.",Springfield,IL,62701,9/30/2020,2020,41,183227,35629,183227,166579,161776
"SECURITY BANK, S.B.",Springfield,IL,62701,9/30/2021,2021,49,257525,42765,257525,240538,239840
SECURITY NATIONAL BANK,Witt,IL,62094,9/30/2019,2019,23,81604,12681,81604,73017,67972
SECURITY NATIONAL BANK,Witt,IL,62094,9/30/2020,2020,23,90458,23015,90458,81770,73702
SECURITY NATIONAL BANK,Witt,IL,62094,9/30/2021,2021,23,98489,16108,98489,89381,81185
SECURITY SAVINGS BANK,Monmouth,IL,61462,9/30/2019,2019,39,198426,18674,198426,176305,175243
SECURITY SAVINGS BANK,Monmouth,IL,61462,9/30/2020,2020,40,212108,32907,212108,188492,187315
SECURITY SAVINGS BANK,Monmouth,IL,61462,9/30/2021,2021,39,243081,5733,243081,218639,212550
SENB BANK,Moline,IL,61265,9/30/2019,2019,74,297376,8547,297376,267190,227622
SENB BANK,Moline,IL,61265,9/30/2020,2020,76,339791,20328,339790,306793,256175
SENB BANK,Moline,IL,61265,9/30/2021,2021,73,360589,43911,360589,325660,281472
SENECA SAVINGS,Baldwinsville,NY,13027,9/30/2019,2019,41,210508,2943,210508,192181,149554
SENECA SAVINGS,Baldwinsville,NY,13027,9/30/2020,2020,43,231184,2594,231184,210812,163481
SENECA SAVINGS,Baldwinsville,NY,13027,9/30/2021,2021,47,217311,6568,217311,195080,167185
SHELBY COUNTY STATE BANK,Shelbyville,IL,62565,9/30/2019,2019,52,257423,15744,257423,231810,216274
SHELBY COUNTY STATE BANK,Shelbyville,IL,62565,9/30/2020,2020,52,270231,4632,270231,242646,228103
SHELBY COUNTY STATE BANK,Shelbyville,IL,62565,9/30/2021,2021,54,287903,10484,287903,260156,257624
SHINHAN BANK AMERICA,New York,NY,10001,9/30/2019,2019,285,1581500,126322,1581500,1366927,1353617
SHINHAN BANK AMERICA,New York,NY,10016,9/30/2020,2020,244,1820875,196031,1820875,1605371,1533649
SHINHAN BANK AMERICA,New York,NY,10016,9/30/2021,2021,237,1885300,217175,1885300,1666330,1651149
SIGNATURE BANK,New York,NY,10017,9/30/2019,2019,1495,49424934,991936,49424935,44683077,39060980
SIGNATURE BANK,Rosemont,IL,60018,9/30/2019,2019,81,891205,129037,891205,798084,786945
SIGNATURE BANK,New York,NY,10017,9/30/2020,2020,1619,63760313,6509063,63760313,58777115,54346906
SIGNATURE BANK,Rosemont,IL,60018,9/30/2020,2020,82,1204763,156185,1204764,1094446,1077842
SIGNATURE BANK,New York,NY,10017,9/30/2021,2021,1847,107850739,28960213,107850739,100171600,95586660
SIGNATURE BANK,Rosemont,IL,60018,9/30/2021,2021,81,1501249,368956,1501249,1373171,1357444
SILICON VALLEY BANK,Santa Clara,CA,95054,9/30/2019,2019,3068,67059614,6319589,67059614,62140847,60432256
SILICON VALLEY BANK,Santa Clara,CA,95054,9/30/2020,2020,3693,95182370,14920167,95182370,89078008,86264581
SILICON VALLEY BANK,Santa Clara,CA,95054,9/30/2021,2021,5554,188327020,17975157,188327020,174926861,172286882
SILVERGATE BANK,La Jolla,CA,92037,9/30/2019,2019,207,2133337,159818,2133337,1896386,1859087
SILVERGATE BANK,La Jolla,CA,92037,9/30/2020,2020,215,2620425,197473,2620425,2333693,2293714
SILVERGATE BANK,La Jolla,CA,92037,9/30/2021,2021,245,12775983,3784488,12775983,11747362,11721885
SOLUTIONS BANK,Forreston,IL,61030,9/30/2020,2020,43,335645,5371,335645,300216,260030
SOLUTIONS BANK,Forreston,IL,61030,9/30/2021,2021,43,319280,3910,319280,285095,284987
SOLVAY BANK,Solvay,NY,13209,9/30/2019,2019,158,969583,46638,969583,879026,841525
SOLVAY BANK,Solvay,NY,13209,9/30/2020,2020,153,1065997,97449,1065997,967862,923865
SOLVAY BANK,Solvay,NY,13209,9/30/2021,2021,155,1123635,45298,1123635,1023934,998732
"SOUTH CENTRAL BANK, NATIONAL ASSOCIATION",Chicago,IL,60607,9/30/2019,2019,41,292161,3419,292161,266966,236757
SOUTH PORTE BANK,Marion,IL,62959,9/30/2019,2019,17,105414,8255,105414,95227,86623
SOUTH SHORE BANK,South Weymouth,MA,2190,9/30/2019,2019,206,1540426,114284,1540426,1377679,1286099
SOUTH SHORE BANK,South Weymouth,MA,2190,9/30/2020,2020,201,1847048,121304,1847048,1672770,1521176
SOUTH SHORE BANK,South Weymouth,MA,2190,9/30/2021,2021,209,2050074,290588,2050074,1862708,1765801
SOUTHERN ILLINOIS BANK,Johnston City,IL,62951,9/30/2019,2019,28,117144,12149,117144,102674,101975
SOUTHERN ILLINOIS BANK,Johnston City,IL,62951,9/30/2020,2020,25,135662,17097,135662,119641,114678
SOUTHERN ILLINOIS BANK,Johnston City,IL,62951,9/30/2021,2021,26,161550,28978,161550,144363,138585
SOUTHERNTRUST BANK,Goreville,IL,62939,9/30/2019,2019,16,56041,8550,56040,50373,50212
SOUTHERNTRUST BANK,Marion,IL,62959,9/30/2020,2020,38,192955,19844,192955,173422,136190
SOUTHERNTRUST BANK,Marion,IL,62959,9/30/2021,2021,40,214299,20337,214299,192056,142108
SPRING BANK,Bronx,NY,10452,9/30/2019,2019,37,193202,9797,193202,168803,168074
SPRING BANK,Bronx,NY,10452,9/30/2020,2020,33,324966,50648,324966,298074,205353
SPRING BANK,Bronx,NY,10452,9/30/2021,2021,34,336177,42117,336177,305559,233537
SPRING VALLEY CITY BANK,Spring Valley,IL,61362,9/30/2019,2019,32,189744,15700,189744,160538,158810
SPRING VALLEY CITY BANK,Spring Valley,IL,61362,9/30/2020,2020,29,208262,14587,208262,177136,171703
SPRING VALLEY CITY BANK,Spring Valley,IL,61362,9/30/2021,2021,27,238650,21595,238650,207618,197175
ST. CHARLES BANK & TRUST COMPANY,Saint Charles,IL,60174,9/30/2019,2019,75,1273072,98440,1273072,1128285,1071058
"ST. CHARLES BANK & TRUST COMPANY, NATIONAL ASSOCIATION",Saint Charles,IL,60174,9/30/2020,2020,88,1784996,165981,1784996,1595740,1526161
"ST. CHARLES BANK & TRUST COMPANY, NATIONAL ASSOCIATION",Saint Charles,IL,60174,9/30/2021,2021,78,1909559,206164,1909559,1697094,1634333
STATE BANK,Wonder Lake,IL,60097,9/30/2019,2019,72,224044,20233,224044,197321,194795
STATE BANK,Freeport,IL,61032,9/30/2019,2019,32,262659,10394,262659,233025,210550
STATE BANK,Waterloo,IL,62298,9/30/2020,2020,46,229085,26193,229085,209144,177125
STATE BANK,Wonder Lake,IL,60097,9/30/2020,2020,62,258381,17588,258381,231050,225743
STATE BANK,Freeport,IL,61032,9/30/2020,2020,33,301505,23636,301505,270057,231957
STATE BANK,Waterloo,IL,62298,9/30/2021,2021,52,296797,49120,296797,272518,229126
STATE BANK,Wonder Lake,IL,60097,9/30/2021,2021,44,284362,87414,284362,256579,250249
STATE BANK,Freeport,IL,61032,9/30/2021,2021,32,334741,58257,334741,301427,263513
STATE BANK OF BEMENT,Bement,IL,61813,9/30/2019,2019,39,104323,5337,104323,91831,86445
STATE BANK OF BEMENT,Bement,IL,61813,9/30/2020,2020,29,119910,22568,119910,107077,102495
STATE BANK OF BEMENT,Bement,IL,61813,9/30/2021,2021,28,126340,32870,126340,113329,107813
STATE BANK OF CERRO GORDO,Cerro Gordo,IL,61818,9/30/2019,2019,7,31074,8113,31074,26820,26689
STATE BANK OF CERRO GORDO,Cerro Gordo,IL,61818,9/30/2020,2020,6,39383,11811,39383,34999,30777
STATE BANK OF CERRO GORDO,Cerro Gordo,IL,61818,9/30/2021,2021,5,37922,6974,37922,33549,33363
STATE BANK OF CHERRY,Cherry,IL,61317,9/30/2019,2019,12,90673,12784,90673,77823,77638
STATE BANK OF CHERRY,Cherry,IL,61317,9/30/2020,2020,12,104319,15176,104319,90783,89717
STATE BANK OF CHERRY,Cherry,IL,61317,9/30/2021,2021,12,117070,10465,117070,103237,102106
STATE BANK OF DAVIS,Davis,IL,61019,9/30/2019,2019,15,161243,13756,161243,142389,125405
STATE BANK OF DAVIS,Davis,IL,61019,9/30/2020,2020,18,176462,11849,176462,156580,134253
STATE BANK OF DAVIS,Davis,IL,61019,9/30/2021,2021,18,170488,19084,170488,149963,148412
STATE BANK OF GRAYMONT,Graymont,IL,61743,9/30/2019,2019,40,211812,12221,211812,185677,184258
STATE BANK OF GRAYMONT,Graymont,IL,61743,9/30/2020,2020,42,234828,13627,234828,207244,200963
STATE BANK OF GRAYMONT,Graymont,IL,61743,9/30/2021,2021,38,260439,14622,260439,230195,222616
STATE BANK OF HERSCHER,Herscher,IL,60941,9/30/2019,2019,27,146236,11016,146236,126053,125196
STATE BANK OF HERSCHER,Herscher,IL,60941,9/30/2020,2020,26,164325,20361,164324,144198,139234
STATE BANK OF HERSCHER,Herscher,IL,60941,9/30/2021,2021,24,168892,20087,168892,148571,147673
STATE BANK OF INDIA,Chicago,IL,60603,9/30/2019,2019,200,2084538,145821,2084538,2084538,1483155
STATE BANK OF INDIA,New York,NY,10022,9/30/2019,2019,356,9619142,552625,9619142,9619142,6594021
STATE BANK OF INDIA,Chicago,IL,60603,9/30/2020,2020,30,1794345,48867,1794345,1794345,1045947
STATE BANK OF INDIA,New York,NY,10022,9/30/2020,2020,760,10025197,917083,10025197,10025197,7521063
STATE BANK OF INDIA,Chicago,IL,60603,9/30/2021,2021,167,2175115,6132,2175115,2175115,1091081
STATE BANK OF INDIA,New York,NY,10022,9/30/2021,2021,418,12544226,1621938,12544226,12544226,8666982
STATE BANK OF INDIA (CALIFORNIA),Los Angeles,CA,90017,9/30/2019,2019,89,839421,54988,839421,697515,687278
STATE BANK OF INDIA (CALIFORNIA),Los Angeles,CA,90017,9/30/2020,2020,90,886657,50874,886657,735529,689529
STATE BANK OF INDIA (CALIFORNIA),Los Angeles,CA,90017,9/30/2021,2021,89,891941,52862,891941,737575,734949
STATE BANK OF INDUSTRY,Industry,IL,61440,9/30/2019,2019,8,51494,5490,51494,43490,43135
STATE BANK OF INDUSTRY,Industry,IL,61440,9/30/2020,2020,8,54891,8294,54891,46516,46202
STATE BANK OF INDUSTRY,Industry,IL,61440,9/30/2021,2021,8,53660,8376,53660,44965,44691
STATE BANK OF LINCOLN,Lincoln,IL,62656,9/30/2019,2019,81,344730,46576,344730,307557,306152
STATE BANK OF LINCOLN,Lincoln,IL,62656,9/30/2020,2020,77,349362,45980,349362,312634,310034
STATE BANK OF NAUVOO,Nauvoo,IL,62354,9/30/2019,2019,8,33356,8112,33356,30498,30470
STATE BANK OF NAUVOO,Nauvoo,IL,62354,9/30/2020,2020,7,33195,8011,33195,30150,30121
STATE BANK OF NAUVOO,Nauvoo,IL,62354,9/30/2021,2021,8,36944,13381,36944,33877,33847
STATE BANK OF SAUNEMIN,Saunemin,IL,61769,9/30/2019,2019,7,35240,4766,35240,31069,31001
STATE BANK OF SAUNEMIN,Saunemin,IL,61769,9/30/2020,2020,7,38152,6369,38152,33458,33380
STATE BANK OF SAUNEMIN,Saunemin,IL,61769,9/30/2021,2021,7,40174,6001,40174,35213,35182
STATE BANK OF ST. JACOB,Saint Jacob,IL,62281,9/30/2019,2019,10,65080,11855,65080,54261,54017
STATE BANK OF ST. JACOB,Saint Jacob,IL,62281,9/30/2020,2020,11,71303,14253,71303,59758,59568
STATE BANK OF ST. JACOB,Saint Jacob,IL,62281,9/30/2021,2021,10,81571,12052,81571,70072,69919
STATE BANK OF THE LAKES,Antioch,IL,60002,9/30/2019,2019,90,1321022,92691,1321022,1148132,1115388
"STATE BANK OF THE LAKES, NATIONAL ASSOCIATION",Antioch,IL,60002,9/30/2020,2020,89,1538380,212671,1538380,1361574,1323596
"STATE BANK OF THE LAKES, NATIONAL ASSOCIATION",Antioch,IL,60002,9/30/2021,2021,88,1669504,267212,1669504,1479229,1442333
STATE BANK OF TOULON,Toulon,IL,61483,9/30/2019,2019,42,229145,12325,229145,202186,189484
STATE BANK OF TOULON,Toulon,IL,61483,9/30/2020,2020,42,262645,10298,262645,232544,216055
STATE BANK OF TOULON,Toulon,IL,61483,9/30/2021,2021,43,299485,12605,299485,267502,254669
STATE BANK OF WATERLOO,Waterloo,IL,62298,9/30/2019,2019,41,190275,27982,190275,174088,145709
STATE BANK OF WHITTINGTON,Benton,IL,62812,9/30/2019,2019,41,132991,8304,132991,118320,117367
STATE BANK OF WHITTINGTON,Benton,IL,62812,9/30/2020,2020,45,146091,13411,146091,129888,128821
STATE BANK OF WHITTINGTON,Benton,IL,62812,9/30/2021,2021,45,163586,16396,163586,147119,146185
"STATE FARM BANK, F.S.B.",Bloomington,IL,61710,9/30/2019,2019,1589,15959138,354064,15959138,14023768,11014830
"STATE FARM BANK, F.S.B.",Bloomington,IL,61710,9/30/2020,2020,892,12285312,10309195,12285312,10544522,10144754
STATE STREET BANK AND TRUST COMPANY,Boston,MA,2111,9/30/2019,2019,30915,241364000,65283000,241364000,215039000,176022000
STATE STREET BANK AND TRUST COMPANY,Quincy,IL,62301,9/30/2019,2019,62,224381,13793,224381,202734,202136
STATE STREET BANK AND TRUST COMPANY,Boston,MA,2111,9/30/2020,2020,30040,268733000,83710000,268733000,242327000,203511000
STATE STREET BANK AND TRUST COMPANY,Quincy,IL,62301,9/30/2020,2020,64,266360,33225,266360,241814,236455
STATE STREET BANK AND TRUST COMPANY,Boston,MA,2111,9/30/2021,2021,29444,319439000,111439000,319439000,292099000,265086000
STATE STREET BANK AND TRUST COMPANY,Quincy,IL,62301,9/30/2021,2021,65,289517,17217,289517,263632,262208
STC CAPITAL BANK,Saint Charles,IL,60174,9/30/2019,2019,46,239526,31333,239526,209319,208132
"STERLING FEDERAL BANK, F.S.B.",Sterling,IL,61081,9/30/2019,2019,112,454001,14011,454000,412582,364099
"STERLING FEDERAL BANK, F.S.B.",Sterling,IL,61081,9/30/2020,2020,103,487500,23546,487500,444364,390654
"STERLING FEDERAL BANK, F.S.B.",Sterling,IL,61081,9/30/2021,2021,101,482451,15795,482451,440189,427149
STERLING NATIONAL BANK,Montebello,NY,10901,9/30/2019,2019,1689,30019454,545603,30019454,25458846,21734461
STERLING NATIONAL BANK,Pearl River,NY,10965,9/30/2020,2020,1466,30539176,437558,30539176,25873909,24432505
STERLING NATIONAL BANK,Pearl River,NY,10965,9/30/2021,2021,1460,29938002,929320,29938002,24840845,24130341
STEUBEN TRUST COMPANY,Hornell,NY,14843,9/30/2019,2019,126,575985,22411,575985,508989,483762
STILLMAN BANCCORP N.A.,Stillman Valley,IL,61084,9/30/2019,2019,96,464215,35013,464215,419411,389121
STILLMAN BANCCORP N.A.,Stillman Valley,IL,61084,9/30/2020,2020,99,534987,41544,534987,478914,443285
STILLMAN BANCCORP N.A.,Stillman Valley,IL,61084,9/30/2021,2021,103,628533,61027,628533,570443,525189
"STONEHAMBANK, A CO-OPERATIVE BANK",Stoneham,MA,2180,9/30/2019,2019,86,615560,28722,615560,553271,466866
"STONEHAMBANK, A CO-OPERATIVE BANK",Stoneham,MA,2180,9/30/2020,2020,84,678853,81489,678853,612905,513212
"STONEHAMBANK, A CO-OPERATIVE BANK",Stoneham,MA,2180,9/30/2021,2021,82,689579,56365,689579,621290,559371
STOUGHTON CO-OPERATIVE BANK,Stoughton,MA,2072,9/30/2019,2019,20,119071,4220,119071,108965,108429
STOUGHTON CO-OPERATIVE BANK,Stoughton,MA,2072,9/30/2020,2020,21,122455,10779,122455,111435,111012
STOUGHTON CO-OPERATIVE BANK,Stoughton,MA,2072,9/30/2021,2021,21,125786,10465,125786,114347,113977
STREATOR HOME SAVINGS BANK,Streator,IL,61364,9/30/2019,2019,18,162931,10245,162931,120977,119304
STREATOR HOME SAVINGS BANK,Streator,IL,61364,9/30/2020,2020,15,166688,9978,166688,124200,118409
STREATOR HOME SAVINGS BANK,Streator,IL,61364,9/30/2021,2021,17,170632,10833,170632,127751,120704
SUMMIT BANK,Oakland,CA,94611,9/30/2019,2019,39,250919,64267,250919,217459,210042
SUMMIT BANK,Oakland,CA,94611,9/30/2020,2020,33,317370,87701,317371,281384,273859
SUMMIT BANK,Oakland,CA,94611,9/30/2021,2021,36,371428,164416,371428,333284,325663
SUMMIT STATE BANK,Santa Rosa,CA,95403,9/30/2019,2019,89,680840,36979,680840,614336,605130
SUMMIT STATE BANK,Santa Rosa,CA,95403,9/30/2020,2020,96,833806,24256,833806,760382,688026
SUMMIT STATE BANK,Santa Rosa,CA,95403,9/30/2021,2021,100,922592,37773,922592,840609,749007
SUNCREST BANK,Visalia,CA,93291,9/30/2019,2019,111,997413,35955,997413,851687,843326
SUNCREST BANK,Visalia,CA,93291,9/30/2020,2020,120,1290368,44893,1290368,1126766,1050620
SUNCREST BANK,Visalia,CA,93291,9/30/2021,2021,111,1416159,22721,1416159,1241372,1233088
SUNNYSIDE FEDERAL SAVINGS AND LOAN ASSOCIATION OF IRVINGTON,Irvington,NY,10533,9/30/2019,2019,11,87938,1863,87938,77239,74163
SUNNYSIDE FEDERAL SAVINGS AND LOAN ASSOCIATION OF IRVINGTON,Irvington,NY,10533,9/30/2020,2020,10,97024,2595,97024,85813,77420
SUNNYSIDE FEDERAL SAVINGS AND LOAN ASSOCIATION OF IRVINGTON,Irvington,NY,10533,9/30/2021,2021,10,93926,2899,93926,84704,82611
SUNWEST BANK,Irvine,CA,92614,9/30/2019,2019,176,1346571,114295,1346571,1172783,1033354
SUNWEST BANK,Irvine,CA,92614,9/30/2020,2020,191,1976181,107447,1976181,1778887,1501614
SUNWEST BANK,Irvine,CA,92614,9/30/2021,2021,194,2153412,485018,2153412,1928229,1914972
TABLE GROVE STATE BANK,Table Grove,IL,61482,9/30/2019,2019,10,46308,2199,46308,40551,37847
TABLE GROVE STATE BANK,Table Grove,IL,61482,9/30/2020,2020,10,44745,1654,44745,38615,37363
TABLE GROVE STATE BANK,Table Grove,IL,61482,9/30/2021,2021,11,50275,5428,50275,44118,43909
"TEMPO BANK, A FEDERAL SAVINGS BANK",Trenton,IL,62293,9/30/2019,2019,17,94936,1528,94936,83946,73727
"TEMPO BANK, A FEDERAL SAVINGS BANK",Trenton,IL,62293,9/30/2020,2020,17,102140,2232,102140,93148,79352
"TEMPO BANK, A FEDERAL SAVINGS BANK",Trenton,IL,62293,9/30/2021,2021,16,90664,1730,90664,80593,74775
TEUTOPOLIS STATE BANK,Teutopolis,IL,62467,9/30/2019,2019,39,246484,29344,246484,212456,211981
TEUTOPOLIS STATE BANK,Teutopolis,IL,62467,9/30/2020,2020,41,277895,35724,277895,240060,239470
TEUTOPOLIS STATE BANK,Teutopolis,IL,62467,9/30/2021,2021,35,311062,51975,311062,271116,270672
TEXICO STATE BANK,Texico,IL,62889,9/30/2019,2019,2,8184,4253,8184,7474,7439
TEXICO STATE BANK,Texico,IL,62889,9/30/2020,2020,3,11297,3988,11297,10546,8201
TEXICO STATE BANK,Texico,IL,62889,9/30/2021,2021,2,10263,5599,10263,9800,9774
THE ADIRONDACK TRUST COMPANY,Saratoga Springs,NY,12866,9/30/2019,2019,236,1204350,121539,1204350,1071270,1040057
THE ADIRONDACK TRUST COMPANY,Saratoga Springs,NY,12866,9/30/2020,2020,235,1460006,317755,1460006,1316895,1288992
THE ADIRONDACK TRUST COMPANY,Saratoga Springs,NY,12866,9/30/2021,2021,249,1617518,334204,1617518,1469759,1433803
THE ANNA -JONESBORO NATIONAL BANK,Anna,IL,62906,9/30/2019,2019,50,219665,18700,219665,187633,186784
THE ANNA -JONESBORO NATIONAL BANK,Anna,IL,62906,9/30/2020,2020,46,239590,19952,239590,205795,202658
THE ANNA -JONESBORO NATIONAL BANK,Anna,IL,62906,9/30/2021,2021,44,271406,15131,271406,237342,231072
THE ATLANTA NATIONAL BANK,Atlanta,IL,61723,9/30/2019,2019,14,59349,4030,59349,51010,50574
THE ATLANTA NATIONAL BANK,Atlanta,IL,61723,9/30/2020,2020,14,70918,5519,70917,61991,58006
THE ATLANTA NATIONAL BANK,Atlanta,IL,61723,9/30/2021,2021,13,71707,3363,71707,62460,61070
THE BANK OF BOURBONNAIS,Bourbonnais,IL,60914,9/30/2019,2019,11,68071,2761,68071,59605,51608
THE BANK OF BOURBONNAIS,Bourbonnais,IL,60914,9/30/2020,2020,10,80313,2457,80313,71838,63508
THE BANK OF BOURBONNAIS,Bourbonnais,IL,60914,9/30/2021,2021,10,90327,23456,90327,82351,71803
THE BANK OF CANTON,Canton,MA,2021,9/30/2019,2019,106,643963,35294,643963,570454,537702
THE BANK OF CANTON,Canton,MA,2021,9/30/2020,2020,110,721782,52307,721782,647055,611200
THE BANK OF CANTON,Canton,MA,2021,9/30/2021,2021,108,816707,227219,816707,732793,725043
THE BANK OF CARBONDALE,Carbondale,IL,62901,9/30/2019,2019,54,246160,40152,246160,215246,214264
THE BANK OF CARBONDALE,Carbondale,IL,62901,9/30/2020,2020,49,261571,29835,261571,227860,222166
THE BANK OF CARBONDALE,Carbondale,IL,62901,9/30/2021,2021,43,282425,24411,282425,246641,241221
THE BANK OF CASTILE,Castile,NY,14427,9/30/2019,2019,129,1483140,29926,1483140,1353487,1264907
THE BANK OF CASTILE,Castile,NY,14427,9/30/2020,2020,127,1782679,103864,1782679,1641033,1579981
THE BANK OF CASTILE,Castile,NY,14427,9/30/2021,2021,127,1932677,97443,1932677,1789695,1741726
THE BANK OF EAST ASIA LTD.,New York,NY,10022,9/30/2019,2019,301,2789917,297786,2789917,2789917,2378558
THE BANK OF EAST ASIA LTD.,New York,NY,10022,9/30/2020,2020,432,3059158,616901,3059158,3059158,2810359
THE BANK OF EAST ASIA LTD.,New York,NY,10022,9/30/2021,2021,433,3216565,806426,3216565,3216565,2846161
